Provinsi,Kab/Kota,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Rata-rata Lama Sekolah Penduduk 15+ (Tahun),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),Indeks Pembangunan Manusia,Umur Harapan Hidup (Tahun),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Persentase rumah tangga yang memiliki akses terhadap air minum layak,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Klasifikasi Kemiskinan,Cluster
ACEH,Simeulue,18.98,0.6404064756636948,-1.1703032660289354,-0.5418159861551766,-1.2708103895657996,-0.3039103143560384,0.14747734550993555,0.2469271896756969,0.2637710925393047,-0.4245028027463538,0,0
ACEH,Aceh Singkil,20.36,0.1493843932603546,-0.5705610879442973,-0.10888954063932209,-0.6465560238297082,-0.4116371947702323,-0.4179814664303786,1.2528475301986854,-1.035096868021629,-0.4217379112536037,1,0
ACEH,Aceh Selatan,13.18,0.2721399138611902,-0.7901227207074695,-0.383127644916269,-1.5263191532159188,-0.7892199106219823,-0.34976941132596595,0.5316216256727692,-1.348077099482095,-0.36813456289920693,0,0
ACEH,Aceh Tenggara,13.41,0.7570242202344877,-0.845381520899543,-0.07499494348149738,-0.41717883828017066,-0.7806017601888466,0.10030265319473404,0.5202338482328862,0.02434121547204816,-0.38607558968778893,0,0
ACEH,Aceh Timur,14.45,-0.13909108015160682,-0.6438710961991149,-0.32304176813648844,-0.26619638703237336,-0.5629934617521749,-0.12600837074981078,0.785948655163487,-1.5624685580325146,-0.28272111942862926,0,0
ACEH,Aceh Tengah,15.26,0.8736419648052806,0.16769648262180498,0.53048581483783,-0.2313542828982647,0.7205723183829457,0.3164137436657221,-0.9298098124455351,1.0696951885500028,-0.334549289722148,0,0
ACEH,Aceh Barat,18.81,0.6833709078739871,-0.26958482289813684,0.2685730186182736,-0.4839595378705442,0.6677861469799904,0.5790620306098141,0.7707649519103098,-1.473269192066282,-0.3025225968473472,0,0
ACEH,Aceh Besar,14.05,1.162117438217243,-0.25079683083283183,0.56283974848848,0.03867202414106909,0.5492865785243777,-0.17700803811759538,1.002316426521262,-1.219755204583304,-0.24452379336025687,0,1
ACEH,Pidie,19.59,0.3457932262216907,-0.17122415855624598,0.11912865842240954,-0.7859244403661387,-1.2443659803719513,0.2615891012453535,0.8428875423629016,-1.4357115642910256,-0.29229995993516966,0,0
ACEH,Bireuen,13.25,0.5237887310929008,-0.5370374158277728,0.3702568100917477,0.4654877997838836,0.25249902298327315,0.5350748175050998,-0.28070649837221023,-0.5562371138871172,-0.24216485028101878,0,0
ACEH,Aceh Utara,17.43,0.12483328914018813,-0.7823864886805791,-0.07191361646715028,-0.24587182628747528,0.1490812177856469,0.3795258320333564,1.2338679011322142,-1.7205235749200496,-0.1053103585190398,0,0
ACEH,Aceh Barat Daya,16.34,0.14324661723031298,-0.6987615043899079,-0.4524575027390931,-1.3346875804783294,-0.6190114395675561,0.6504615649247131,-0.3869924211444506,-1.8081580397289805,-0.3947961673219284,0,0
ACEH,Gayo Lues,19.64,-0.022473335580813925,-0.5410897278418582,-0.364639682830182,-1.1982226726197427,-1.5928624385118688,-0.029109002751019027,-1.222096100069196,1.4906535998643289,-0.4175284008878364,0,0
ACEH,Aceh Tamiang,13.34,0.29055324195131504,-0.7212334164680178,-0.06883228945280098,-0.007784114704410485,0.5519797505347324,-0.12855835411819952,0.3076620026884057,-0.47486225370739443,-0.33226333294146854,0,0
ACEH,Nagan Raya,18.23,0.15552216929039622,-0.7488628165640545,-0.09502356907475684,-0.12102095314025949,-0.12616096167261856,0.3183262311920141,-0.026379468881492365,-0.7002080203589317,-0.3103674224788557,0,0
ACEH,Aceh Jaya,13.23,0.16779772135048054,-0.24269220680466108,-0.013368403194542178,-0.7162402320979255,0.2368786253232147,0.07799029872132855,-0.6033601925022255,0.4891168591908397,-0.4164425912672809,0,0
ACEH,Bener Meriah,19.16,0.9595708292258653,0.29221297905461063,0.5150791797660901,-0.11521393578457195,0.5110435359773384,0.29155140582392697,-1.4498516488668536,1.26217803089819,-0.38070686550254357,0,0
ACEH,Pidie Jaya,19.55,0.55447761124311,-0.012815598005635203,0.5659210755028271,0.1519088625769181,-0.15632448818859299,0.5306123466104182,-0.5654009343692826,-1.830066655931212,-0.40387062298423543,0,0
ACEH,Kota Banda Aceh,7.61,2.6965614457276796,2.4189400024468806,2.4316645826903693,0.5409790254077802,1.2215023123089472,0.907372389289929,1.4730112273697546,-1.0116233506620944,-0.136020435402292,0,1
ACEH,Kota Sabang,15.32,1.6838284007707913,0.3879948993875381,0.9526276158034663,0.2622421923349233,0.8105242635287977,0.7040112156608873,-0.5691968601825769,-0.9005153684936289,-0.43485045455239807,0,1
ACEH,Kota Langsa,10.96,1.6470017445905405,0.6418169882697958,1.157535862257589,-0.06585428826125274,0.7868243498376751,0.7652108165022287,0.8163160616698414,-0.3794032831119525,-0.37589016680301846,0,1
ACEH,Kota Lhokseumawe,11.16,1.6408639685604989,0.392415603402904,1.1775644878508487,0.5758211295418888,0.8563081877048297,0.5930869391359548,2.3157067579210886,-0.869217345347583,-0.30739021670621597,0,1
ACEH,Kota Subulussalam,17.65,-0.24957104869235916,-1.0829943617254592,-0.7174516259729965,-1.6221349395847176,-0.40355767873916826,-1.5469866027847143,0.45570310940688313,-0.8895610603925126,-0.42887193015612046,0,0
SUMATERA UTARA,Nias,16.82,-1.7164995198723365,-1.2266672422248504,-1.1072394932879817,0.035768515463225334,-3.0848797322484547,-2.3808311642479953,-0.7362175959675259,1.9288259239089829,-0.403215814904009,0,2
SUMATERA UTARA,Mandailing Natal,9.49,0.11869551311014652,-0.2040110466702096,-0.42164423259561545,-2.0344331718383195,-2.233837376976323,-0.7239794706370871,0.4025601480207631,0.050944535146188026,-0.2586422646250433,0,0
